# Do not forget to name your character.
# Health is optional.

name	Mandy
health	100
speed	9
type	player
shadow	3
diesound data/sounds/eek.wav

icon	data/chars/mary/icon.gif


# To create an alternate colour version, enter the path to
# an image in the original, and one in the alternative colourset.
remap	data/chars/mary/stand1.gif data/chars/mary/alt1


# Animation syntax:
# First enter the name of the animation:
#	anim	[name]				idle, walk, jump, etc
#
# Then add some other values, like so:
# 	loop	[0/1]
#	offset	x y					location of center,bottom
#	delay	num					in 100th seconds
#	bbox	x y width height			weak point
#	attack	x y width height force drop long	attack rect, force, drop opponent, hurt longer
#
# Every time you specify "frame", a frame is appended to the animation,
# using the settings you just specified. You can change all the values
# at any time between adding frames, though changing "loop" again is
# ofcourse essentially pointless.
# All numeric values default to 0 if not specified.
# 
#	frame	[path]
#
# The maximum number of frames per animation is 32.
# You may use GIF, PCX or BMP files.


anim idle
	loop	1
	delay	10
	offset	27 95
	bbox	10 5 34 94
	frame	data/chars/mary/stand1.gif
	frame	data/chars/mary/stand2.gif
	frame	data/chars/mary/stand3.gif
	frame	data/chars/mary/stand4.gif
	frame	data/chars/mary/stand5.gif
	frame	data/chars/mary/stand6.gif
	frame	data/chars/mary/stand7.gif

anim walk
	loop	1
	delay	7
	offset	25 104
	bbox	8 8 29 93
	frame	data/chars/mary/walk01.gif
	frame	data/chars/mary/walk02.gif
	frame	data/chars/mary/walk03.gif
	frame	data/chars/mary/walk04.gif
	frame	data/chars/mary/walk05.gif
	frame	data/chars/mary/walk06.gif
	frame	data/chars/mary/walk07.gif
	frame	data/chars/mary/walk08.gif
	frame	data/chars/mary/walk09.gif
	frame	data/chars/mary/walk10.gif

anim get
	loop	0
	delay	5
	offset	41 95
	frame	data/chars/mary/get1.gif
	frame	data/chars/mary/get2.gif
	frame	data/chars/mary/get3.gif
	delay	30
	frame	data/chars/mary/get4.gif
	delay	5
	frame	data/chars/mary/get3.gif
	frame	data/chars/mary/get2.gif
	frame	data/chars/mary/get1.gif



anim attack1
	loop	0
	delay	4
	bbox	13 2 31 98
	offset	29 96
	frame	data/chars/mary/punch1-1.gif
	bbox	17 2 31 98
	frame	data/chars/mary/punch1-2.gif
	attack	41 10 28 25 5
	frame	data/chars/mary/punch1-3.gif
	attack	41 10 43 25 5
	frame	data/chars/mary/punch1-4.gif
	attack	0 0 0 0 0
	delay	2
	frame	data/chars/mary/punch1-3.gif
	frame	data/chars/mary/punch1-2.gif



anim attack2
	loop	0
	delay	5
	offset	31 95
	bbox	9 3 32 94
	frame	data/chars/mary/punch2-1.gif
	offset	36 95
	bbox	20 7 32 91
	move	5
	frame	data/chars/mary/punch2-2.gif
	offset	56 95
